de,en,cat,ex,pos,tr
das Büro,office,Büroalltag,Ich bin heute den ganzen Tag im Büro.,,ofis
der Arbeitsplatz,"workplace, desk",Büroalltag,Mein Arbeitsplatz ist am Fenster.,,"çalışma yeri, masa"
die Besprechung,meeting,Büroalltag,Die Besprechung beginnt um zehn Uhr.,,toplantı
der Termin,appointment,Büroalltag,Ich habe morgen einen wichtigen Termin.,,randevu
die Agenda,agenda,Büroalltag,Die Agenda für heute ist sehr voll.,,gündem
das Protokoll,minutes (of a meeting),Büroalltag,Wer schreibt heute das Protokoll?,,toplantı tutanağı
die Frist,deadline,Büroalltag,Die Frist für das Projekt läuft morgen ab.,,"son tarih, süre"
der Kollege / die Kollegin,colleague,Büroalltag,Meine Kollegin hilft mir gerne weiter.,,"meslektaş, iş arkadaşı"
die Abteilung,department,Büroalltag,Er arbeitet in der Abteilung Marketing.,,"departman, bölüm"
der Vorgesetzte / die Vorgesetzte,supervisor,Büroalltag,Ich muss das mit meinem Vorgesetzten klären.,,"amir, yönetici"
die Geschäftsleitung,"management, executive board",Büroalltag,Die Geschäftsleitung trifft sich einmal im Monat.,,"yönetim, üst yönetim"
die Unterlagen,"documents, paperwork",Büroalltag,Bitte bringen Sie alle Unterlagen mit.,,"belgeler, evraklar"
der Vertrag,contract,Büroalltag,Der Vertrag muss bis Freitag unterschrieben sein.,,sözleşme
die Unterschrift,signature,Büroalltag,Hier fehlt noch Ihre Unterschrift.,,imza
vereinbaren,"to arrange, agree on",Büroalltag,Wir vereinbaren einen neuen Termin für nächste Woche.,,"kararlaştırmak, anlaşmak"
verschieben,to postpone,Büroalltag,Können wir das Meeting auf Montag verschieben?,,ertelemek
absagen,to cancel,Büroalltag,Ich muss den Termin leider absagen.,,iptal etmek
bestätigen,to confirm,Büroalltag,Können Sie den Termin bitte bestätigen?,,onaylamak
die Pendenz,"pending item, outstanding task (CH-common)",Büroalltag,Diese Pendenz ist noch offen.,,"bekleyen iş, askıdaki konu (İsviçre)"
das Pflichtenheft,"job description, specification sheet",Büroalltag,Das steht so im Pflichtenheft.,,"görev tanımı, şartname"
der Absender,sender,E-Mail & Kommunikation,Der Absender der E-Mail ist mir unbekannt.,,gönderen
der Empfänger,recipient,E-Mail & Kommunikation,Bitte fügen Sie den Empfänger hinzu.,,alıcı
der Betreff,subject line,E-Mail & Kommunikation,Schreiben Sie das Thema in den Betreff.,,konu satırı
der Anhang,attachment,E-Mail & Kommunikation,Die Datei finden Sie im Anhang.,,ek (dosya)
weiterleiten,to forward,E-Mail & Kommunikation,Ich leite die E-Mail an Sie weiter.,,yönlendirmek (iletmek)
in Kopie setzen (cc),to cc someone,E-Mail & Kommunikation,Setzen Sie bitte meinen Chef in Kopie.,,bilgi olarak eklemek (cc)
sich melden,to get in touch,E-Mail & Kommunikation,Ich melde mich morgen wieder bei Ihnen.,,"haber vermek, ulaşmak"
Rücksprache halten,"to consult, check with someone",E-Mail & Kommunikation,Ich halte kurz Rücksprache mit meinem Team.,,"görüş alışverişinde bulunmak, danışmak"
die Rückmeldung,"feedback, response",E-Mail & Kommunikation,Ich warte noch auf Ihre Rückmeldung.,,"geri bildirim, yanıt"
Bescheid geben,to let someone know,E-Mail & Kommunikation,Geben Sie mir bitte kurz Bescheid.,,haber vermek
