de,en,cat,ex,pos,tr
anbieten,to offer,Goethe A2,Darf ich Ihnen ein Stück Kuchen anbieten?,,"sunmak, ikram etmek"
ander-,other,Goethe A2,"Willst du diesen Mantel? – Nein, ich möchte den anderen.",,"diğer, başka"
ändern,to change,Goethe A2,Wie kann ich mein Passwort ändern?,,değiştirmek
anders,different(ly),Goethe A2,Oliver ist anders als seine Freunde.,,farklı
anfangen,to begin,Goethe A2,Der Unterricht fängt gleich an.,,başlamak
der Anfang,beginning,Goethe A2,Sie wohnt am Anfang der Straße.,,başlangıç
die Angst,fear,Goethe A2,Ich habe Angst vor großen Hunden.,,korku
ankommen,to arrive,Goethe A2,Wann kommt dieser Zug in Hamburg an?,,varmak
die Ankunft,arrival,Goethe A2,Auf diesem Fahrplan steht nur die Ankunft der Züge.,,varış
anmachen,to turn on,Goethe A2,Mach bitte das Licht an!,,açmak (cihaz)
sich anmelden,to register,Goethe A2,Wo kann ich mich anmelden?,,kaydolmak
die Anmeldung,registration,Goethe A2,Wo bekomme ich das Formular für die Anmeldung?,,kayıt
der Anrufbeantworter,answering machine,Goethe A2,Sprechen Sie bitte auf den Anrufbeantworter.,,telesekreter
anrufen,to call (phone),Goethe A2,Kann ich Sie heute Abend anrufen?,,telefon etmek
der Anruf,phone call,Goethe A2,Eva bekommt viele Anrufe von ihrem Freund.,,telefon araması
der Anschluss,connection (transport),Goethe A2,In Mannheim haben Sie Anschluss nach Saarbrücken.,,"aktarma, bağlantı"
ansehen,"to look at, watch",Goethe A2,Darf ich eure Urlaubsfotos ansehen?,,"bakmak, izlemek"
antworten,to answer,Goethe A2,Er antwortet nicht.,,cevap vermek
die Antwort,answer,Goethe A2,Er gibt leider keine Antwort.,,cevap
die Anzeige,advertisement,Goethe A2,Ich habe Ihre Anzeige in der Zeitung gelesen.,,ilan
der Anzug,suit,Goethe A2,Mein Mann muss sich einen neuen Anzug kaufen.,,takım elbise
der Apfel,apple,Goethe A2,"Ein Kilo Äpfel, bitte.",,elma
die Apotheke,pharmacy,Goethe A2,Das Medikament bekommen Sie in der Apotheke.,,eczane
ab,"from, starting",Goethe A2,Ab morgen muss ich wieder arbeiten.,,-den itibaren
aber,but,Goethe A2,"Heute kann ich nicht kommen, aber morgen habe ich Zeit.",,"ama, fakat"
abgeben,to hand in,Goethe A2,Ich muss meinen Schlüssel an der Rezeption abgeben.,,teslim etmek
abholen,to pick up,Goethe A2,Wann kann ich die Sachen bei dir abholen?,,almaya gitmek
abschließen,to lock / to complete,Goethe A2,Hast du die Tür abgeschlossen?,,kilitlemek / tamamlamak
Achtung,attention,Goethe A2,Achtung an Gleis drei: Die Türen schließen.,,dikkat
die Adresse,address,Goethe A2,Können Sie mir Ihre Adresse geben?,,adres
die Ahnung,"idea, notion",Goethe A2,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",,"fikir, tahmin"
aktiv,active,Goethe A2,Peter ist sehr aktiv und macht viel Sport.,,aktif
aktuell,current,Goethe A2,Das ist das aktuelle Kinoprogramm.,,güncel
all-,all,Goethe A2,Ich wünsche dir alles Gute!,,"hepsi, tüm"
allein,alone,Goethe A2,"Kommt seine Freundin mit? – Nein, er kommt allein.",,yalnız
als,"as, than",Goethe A2,Hector ist jünger als seine Schwester.,,"-den, olarak"
also,"so, therefore",Goethe A2,"Also, die Sache ist so: …",,"yani, öyleyse"
alt,old,Goethe A2,Wie alt sind Sie?,,"yaşlı, eski"
das Alter,age,Goethe A2,Alter: 18 Jahre.,,yaş
die Ampel,traffic light,Goethe A2,"Du kannst fahren, die Ampel ist grün.",,trafik ışığı
an,"at, on",Goethe A2,Fahren Sie an der nächsten Kreuzung nach rechts.,,"-de, üzerinde"
aus,"from, out of",Goethe A2,Michele kommt aus Brasilien.,,-den
die Ausbildung,vocational training,Goethe A2,Ich möchte eine Ausbildung zum Krankenpfleger machen.,,mesleki eğitim
der Ausflug,excursion,Goethe A2,Morgen machen wir einen Ausflug nach Heidelberg.,,gezi
ausfüllen,to fill out,Goethe A2,Füllen Sie bitte dieses Formular aus!,,doldurmak (form)
der Ausgang,exit,Goethe A2,"Entschuldigung, wo ist der Ausgang?",,çıkış
ausgeben,to spend (money),Goethe A2,Agata gibt viel Geld für Bücher aus.,,harcamak (para)
ausgehen,to go out,Goethe A2,Gehen wir am Freitag zusammen aus?,,dışarı çıkmak
die Auskunft,information (desk),Goethe A2,Wo ist die Auskunft?,,bilgi (danışma)
das Ausland,abroad,Goethe A2,Fahren Sie ins Ausland?,,yurt dışı
ausmachen,to turn off,Goethe A2,Mach bitte das Licht aus!,,kapatmak (cihaz)
auspacken,to unpack,Goethe A2,Packst du bitte den Koffer aus?,,açmak (bavul vb.)
sich ausruhen,to rest,Goethe A2,Ruh dich erst mal aus! Du bist sicher müde.,,dinlenmek
aussehen,"to look, appear",Goethe A2,Wie sieht er aus? – Groß und blond.,,görünmek
außer,except,Goethe A2,Außer Lisa möchte niemand den Film sehen.,,"dışında, hariç"
außerdem,furthermore,Goethe A2,"Vier Brötchen, möchten Sie außerdem noch etwas?",,ayrıca
außerhalb,outside of,Goethe A2,Die Wohnung liegt etwas außerhalb.,,dışında
aussprechen,to pronounce,Goethe A2,Wie spricht man das Wort aus?,,telaffuz etmek
aussteigen,to get off (transport),Goethe A2,Wo müssen wir aussteigen?,,inmek (araçtan)
die Ausstellung,exhibition,Goethe A2,Gehen wir morgen zusammen in die Ausstellung?,,sergi
austragen,to deliver (newspapers etc.),Goethe A2,Er trägt jeden Morgen die Zeitung aus.,,dağıtmak
der Ausweis,ID card,Goethe A2,Darf ich bitte mal Ihren Ausweis sehen?,,kimlik
das Auto,car,Goethe A2,Er fährt mit dem Auto.,,araba
die Autobahn,highway,Goethe A2,Das Dorf liegt direkt an der Autobahn.,,otoyol
der Apparat,"apparatus, set",Goethe A2,Ich habe einen neuen Fotoapparat.,,"alet, cihaz"
arbeiten,to work,Goethe A2,Wo arbeiten Sie?,,çalışmak
die Arbeit,work,Goethe A2,Mein Bruder sucht Arbeit.,,iş
arbeitslos,unemployed,Goethe A2,Seit wann ist er schon arbeitslos?,,işsiz
sich ärgern,to be annoyed,Goethe A2,Warum ärgerst du dich?,,sinirlenmek
arm,poor,Goethe A2,"Sie haben nicht viel Geld, sie sind arm.",,fakir
der Arm,arm,Goethe A2,Mein Arm tut weh.,,kol
der Artikel,article,Goethe A2,Ich habe in der Zeitung einen interessanten Artikel gelesen.,,makale
auch,also,Goethe A2,Ich bin auch Spanier.,,"de, da"
auf,on,Goethe A2,Das Wörterbuch liegt auf dem Tisch.,,üzerinde
auf jeden/keinen Fall,in any/no case,Goethe A2,Ich möchte auf jeden Fall den neuen Film sehen.,,her/hiçbir durumda
aufhören,to stop,Goethe A2,Wann hört ihr mit der Arbeit auf?,,"durmak, bırakmak"
aufmachen,to open,Goethe A2,Kannst du bitte die Tür aufmachen?,,açmak
aufpassen,"to pay attention, watch out",Goethe A2,"Pass auf, der Teller fällt gleich!",,dikkat etmek
