de,en,cat,ex,pos,tr
die Kleidung,clothing,Kleidung & Mode,Im Koffer habe ich nicht viel Kleidung.,n,"kıyafet, giysi"
das Hemd,shirt,Kleidung & Mode,Das Hemd passt nicht mehr.,n,gömlek
die Hose,"trousers, pants",Kleidung & Mode,Die Hose ist mir zu eng.,n,pantolon
das T-Shirt,T-shirt,Kleidung & Mode,Ich brauche ein neues T-Shirt.,n,tişört
der Pullover,sweater,Kleidung & Mode,Im Winter trage ich oft einen Pullover.,n,kazak
die Jacke,jacket,Kleidung & Mode,"Zieh deine Jacke an, es ist kalt.",n,"ceket, mont"
der Rock,skirt,Kleidung & Mode,Der Rock ist etwas zu lang.,n,etek
das Kleid,dress,Kleidung & Mode,Sie trägt heute ein schönes Kleid.,n,elbise
die Schuhe,shoes,Kleidung & Mode,Meine Schuhe sind schon ziemlich alt.,n,ayakkabı
die Socken,socks,Kleidung & Mode,Hast du noch saubere Socken?,n,çorap
die Unterwäsche,underwear,Kleidung & Mode,Die Unterwäsche liegt in der obersten Schublade.,n,iç çamaşırı
die Mütze,"hat, beanie",Kleidung & Mode,Bei diesem Wetter brauchst du eine Mütze.,n,"bere, şapka"
der Schal,scarf,Kleidung & Mode,Der Schal hält den Hals warm.,n,atkı
die Handschuhe,gloves,Kleidung & Mode,Ohne Handschuhe friert man schnell.,n,eldiven
der Gürtel,belt,Kleidung & Mode,Der Gürtel ist eine Nummer zu groß.,n,kemer
die Umkleidekabine,fitting room,Kleidung & Mode,Die Umkleidekabine ist gleich hinten links.,n,deneme kabini
die Größe,size (clothing),Kleidung & Mode,Welche Größe haben Sie normalerweise?,n,beden
eng,tight,Kleidung & Mode,Die Jeans ist mir zu eng.,adj,dar
weit,"loose, wide",Kleidung & Mode,Der Pullover ist angenehm weit.,adj,"bol, geniş"
modisch,fashionable,Kleidung & Mode,Sie kleidet sich immer sehr modisch.,adj,"şık, moda"
die Mode,fashion,Kleidung & Mode,Diese Farbe ist diesen Sommer in Mode.,n,moda
anziehen,to put on (clothes),Kleidung & Mode,Zieh bitte eine warme Jacke an.,v,giymek (üstüne)
ausziehen,to take off (clothes),Kleidung & Mode,Zieh die nassen Schuhe aus.,v,çıkarmak (üzerinden)
passen,to fit,Kleidung & Mode,Die Hose passt mir leider nicht mehr.,v,"uymak, beden olmak"
die Bank,bank,Bank & Versicherung,Die Bank hat heute bis sechs Uhr geöffnet.,n,banka
das Konto,account,Bank & Versicherung,Ich möchte ein neues Konto eröffnen.,n,hesap (banka)
die Kontonummer,account number,Bank & Versicherung,Geben Sie mir bitte Ihre Kontonummer.,n,hesap numarası
die IBAN,IBAN,Bank & Versicherung,Die IBAN finden Sie auf Ihrer Karte.,n,IBAN
die Überweisung,bank transfer,Bank & Versicherung,Die Überweisung dauert ein bis zwei Tage.,n,"havale, transfer"
überweisen,to transfer (money),Bank & Versicherung,Ich überweise Ihnen den Betrag morgen.,v,havale etmek
abheben,to withdraw (money),Bank & Versicherung,Ich muss noch Geld abheben.,v,para çekmek
einzahlen,to deposit (money),Bank & Versicherung,Können Sie diesen Betrag einzahlen?,v,para yatırmak
der Kontostand,account balance,Bank & Versicherung,Mein Kontostand ist diesen Monat niedrig.,n,hesap bakiyesi
die Bankkarte,bank card,Bank & Versicherung,Ich habe meine Bankkarte verloren.,n,banka kartı
