de,en,cat,ex,pos,tr
ab,"from, off",Goethe B1,Die Fahrt kostet ab Hamburg 200 Euro.,,-den itibaren
abschreiben,"to copy, cheat",Goethe B1,Er hat die Hausaufgaben von mir abgeschrieben.,,kopya çekmek
das Abitur,high school diploma (Abitur),Goethe B1,Meine Tochter hat gerade Abitur gemacht.,,lise diploması
ablehnen,"to decline, reject",Goethe B1,"Er hat mein Angebot, ihm zu helfen, abgelehnt.",,reddetmek
abbiegen,to turn (a corner),Goethe B1,An der nächsten Kreuzung müssen Sie links abbiegen.,,dönmek (kavşakta)
die Abbildung,"illustration, figure",Goethe B1,"Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",,"şekil, resim"
das Abenteuer,adventure,Goethe B1,Unser Urlaub war ein tolles Abenteuer.,,macera
abmachen,"to agree, arrange",Goethe B1,"Wir hatten doch abgemacht, dass du die Getränke besorgst.",,"anlaşmak, kararlaştırmak"
abnehmen,"to remove, lose weight",Goethe B1,Morgen können wir den Verband abnehmen.,,"almak, zayıflamak"
abonnieren,to subscribe,Goethe B1,Diese Zeitschrift würde ich gerne abonnieren.,,abone olmak
aber,"but, however",Goethe B1,"Heute kann ich nicht, aber morgen ganz bestimmt.",,"ama, fakat"
abfahren,to depart,Goethe B1,Unser Zug ist pünktlich abgefahren.,,hareket etmek (araç)
absagen,to cancel,Goethe B1,"Ich muss unser Treffen leider absagen, weil ich krank geworden bin.",,iptal etmek
der Abschluss,"diploma, conclusion",Goethe B1,Ein guter Schulabschluss ist sehr wichtig.,,"mezuniyet, sonuç"
der Abschnitt,"section, paragraph",Goethe B1,Lesen Sie bitte den zweiten Abschnitt.,,"bölüm, paragraf"
der Absender,sender (male),Goethe B1,Schicken Sie das Paket an den Absender zurück.,,gönderen (erkek)
die Absenderin,sender (female),Goethe B1,Schicken Sie das Paket an die Absenderin zurück.,,gönderen (kadın)
die Absicht,"intention, purpose",Goethe B1,Meine Tochter hat das nicht mit Absicht gemacht.,,"niyet, amaç"
die Abfahrt,departure,Goethe B1,Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,,kalkış
der Abfall,"waste, rubbish",Goethe B1,Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,,"çöp, atık"
der Abfalleimer,rubbish bin,Goethe B1,Wirf das bitte in den Abfalleimer!,,çöp kovası
Abgase,exhaust fumes,Goethe B1,Abgase aus Industrie und Haushalten verschmutzen die Luft.,,egzoz gazları
abgeben,"to hand in, deliver",Goethe B1,Ich soll dieses Päckchen bei Herrn Müller abgeben.,,"teslim etmek, vermek"
abhängen,to depend on,Goethe B1,"Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.",,"bağlı olmak, asılı kalmak"
abhängig,dependent,Goethe B1,Gregor ist finanziell von seinen Eltern abhängig.,,bağımlı
abheben,to withdraw (money),Goethe B1,Für die Reise habe ich 500 Euro von meinem Konto abgehoben.,,para çekmek
abholen,to pick up,Goethe B1,Meine Freundin hat mich vom Bahnhof abgeholt.,,almak (karşılamak)
absolut,absolutely,Goethe B1,"Was Sie da sagen, ist absolut falsch.",,"kesinlikle, mutlak"
abstimmen,to vote,Goethe B1,Lasst uns über diesen Punkt abstimmen.,,oy kullanmak
die Abteilung,department,Goethe B1,Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,,"bölüm, departman"
der Abwart,"caretaker, janitor",Goethe B1,"Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.",,"kapıcı, bakıcı"
abwärts,downward,Goethe B1,Von dort führt der Weg abwärts ins Tal.,,aşağıya doğru
abwaschen,to wash up (dishes),Goethe B1,Ich muss noch das Geschirr abwaschen.,,bulaşık yıkamak
abwesend,absent,Goethe B1,Herr Huber ist bis zum 25. April abwesend.,,"devamsız, burada olmayan"
achten,"to pay attention, respect",Goethe B1,"Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.",,dikkat etmek
Achtung,"attention, caution",Goethe B1,"Achtung, hier endet die Straße!",,dikkat!
die Adresse,address,Goethe B1,Hast du schon meine neue Adresse?,,adres
ähnlich,similar,Goethe B1,Emilia ist in einer ganz ähnlichen Situation wie ich.,,benzer
die Ahnung,"idea, clue",Goethe B1,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",,"fikir, sezgi"
die Aktion,"action, campaign",Goethe B1,Die Stadt sollte eine Aktion für Familien planen.,,"kampanya, eylem"
aktiv,active,Goethe B1,Ich bin sehr aktiv und mache viel Sport.,,aktif
die Aktivität,activity,Goethe B1,In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.,,"aktivite, etkinlik"
aktuell,"current, up-to-date",Goethe B1,Umweltschutz ist ein aktuelles Thema.,,güncel
alltäglich,"everyday, ordinary",Goethe B1,Das alltägliche Leben ist manchmal langweilig.,,gündelik
das Alphabet,alphabet,Goethe B1,Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,,alfabe
als,"when, as, than",Goethe B1,"Als mein Mann kam, war die Party schon zu Ende.",,"olarak, -den daha, -iken"
als ob,as if,Goethe B1,"Er tut so, als ob wir nie darüber gesprochen hätten.",,sanki
also,"so, well",Goethe B1,"Also, die Sache ist so: …",,"öyleyse, yani"
akzeptieren,to accept,Goethe B1,Ich kann diese Bedingungen nicht akzeptieren.,,kabul etmek
der Alarm,alarm,Goethe B1,Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,,alarm
der Alkohol,alcohol,Goethe B1,Du musst die Wunde mit Alkohol reinigen.,,alkol
all-,all,Goethe B1,Sind alle Kinder da?,,"hepsi, tüm"
allein,alone,Goethe B1,Ich gehe nicht gern allein spazieren.,,yalnız
aller-,most (superlative prefix),Goethe B1,"Am allerbesten ist es, wenn du dich ins Bett legst.",,en (pekiştirme eki)
allerdings,"however, certainly",Goethe B1,"Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.",,"ancak, elbette"
allgemein,"general, in general",Goethe B1,Wir haben nur über allgemeine Probleme gesprochen.,,genel
das Alter,age,Goethe B1,Wie alt sind Sie?,,yaş
das Altenheim,old people's home,Goethe B1,Die Großeltern unserer Nachbarn sind im Altenheim.,,huzurevi
das Altersheim,retirement home,Goethe B1,Die Großeltern unserer Nachbarn sind im Altersheim.,,yaşlı bakımevi
alternativ,alternative,Goethe B1,Wir brauchen alternative Energien.,,alternatif
die Alternative,alternative (noun),Goethe B1,Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,,alternatif
die Ampel,traffic light,Goethe B1,Dort an der Ampel kannst du über die Straße gehen.,,trafik ışığı
das Amt,"office, authority",Goethe B1,Das Arbeitsamt befindet sich neben dem Busbahnhof.,,"resmi daire, kurum"
sich amüsieren,to enjoy oneself,Goethe B1,Bei dem Fest haben wir uns sehr gut amüsiert.,,eğlenmek
an,"at, on, to",Goethe B1,Am Anfang war alles sehr schwierig.,,"-de, -e, -da"
der Alltag,everyday life,Goethe B1,"Das ist mein Alltag: putzen, waschen, kochen.",,gündelik hayat
analysieren,to analyze,Goethe B1,Die Politiker analysieren die Situation auf dem Arbeitsmarkt.,,analiz etmek
anbieten,to offer,Goethe B1,Darf ich Ihnen etwas zu trinken anbieten?,,"teklif etmek, sunmak"
der Anbieter,provider,Goethe B1,Ist das ein privater Telefonanbieter?,,sağlayıcı
das Angebot,"offer, deal",Goethe B1,Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.,,"teklif, fırsat"
ander-,other,Goethe B1,Die anderen sind schon nach Hause gegangen.,,diğer
andererseits,on the other hand,Goethe B1,"Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.",,öte yandan
ändern,to change,Goethe B1,Das Wetter hat sich geändert.,,değiştirmek
die Änderung,"change, alteration",Goethe B1,Es gibt eine Programmänderung.,,değişiklik
anders,"differently, otherwise",Goethe B1,Anders geht das leider nicht.,,farklı şekilde
anerkennen,"to recognize, acknowledge",Goethe B1,Meine Ausbildung wird hier nicht anerkannt.,,"tanımak, kabul etmek"
anfangen,"to begin, start",Goethe B1,Wann fängst du mit der Arbeit an?,,başlamak
der Anfang,"beginning, start",Goethe B1,Wie war der Film? – Ich habe nur den Anfang gesehen.,,başlangıç
anfangs,"at first, initially",Goethe B1,Anfangs ging alles gut.,,başlangıçta
angeben,"to state, provide (info)",Goethe B1,Bitte geben Sie Ihre genaue Adresse an.,,"bildirmek, belirtmek"
die Angabe,"information, detail",Goethe B1,"Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.",,"bilgi, veri"
