de,en,cat,ex,pos,tr
das Gerät,device,Technologie & Geräte,Dieses Gerät ist ganz einfach zu bedienen.,,cihaz
der Akku,battery (rechargeable),Technologie & Geräte,Mein Akku ist fast leer.,,"şarjlı pil, akü"
aufladen,to charge (a device),Technologie & Geräte,Ich muss mein Handy noch aufladen.,,şarj etmek
das Ladekabel,charging cable,Technologie & Geräte,Hast du ein Ladekabel dabei?,,şarj kablosu
die App,app,Technologie & Geräte,Laden Sie zuerst die App herunter.,,uygulama
herunterladen,to download,Technologie & Geräte,Die Datei lädt gerade herunter.,,indirmek
hochladen,to upload,Technologie & Geräte,Ich lade die Fotos später hoch.,,yüklemek (karşıya)
installieren,to install,Technologie & Geräte,Bitte installieren Sie zuerst das Update.,,kurmak (yazılım)
aktualisieren,to update,Technologie & Geräte,Das Programm muss aktualisiert werden.,,güncellemek
das WLAN,WiFi,Technologie & Geräte,Wie lautet das Passwort fürs WLAN?,,kablosuz internet (WiFi)
die Verbindung,connection,Technologie & Geräte,Die Verbindung ist gerade sehr langsam.,,bağlantı
das Passwort,password,Technologie & Geräte,Ich habe mein Passwort vergessen.,,şifre
einloggen (sich),to log in,Technologie & Geräte,Loggen Sie sich bitte mit Ihrer E-Mail ein.,,giriş yapmak
ausloggen (sich),to log out,Technologie & Geräte,"Vergessen Sie nicht, sich auszuloggen.",,çıkış yapmak
abstürzen,to crash (software),Technologie & Geräte,Die App ist schon wieder abgestürzt.,,çökmek (yazılım)
funktionieren,"to work, function",Technologie & Geräte,Der Drucker funktioniert leider nicht.,,"çalışmak, işlev görmek"
neu starten,to restart,Technologie & Geräte,Starten Sie das Gerät einfach neu.,,yeniden başlatmak
der Bildschirm,screen,Technologie & Geräte,Der Bildschirm ist zerbrochen.,,ekran
die Taste,"key, button",Technologie & Geräte,"Drücken Sie diese Taste, um fortzufahren.",,"tuş, düğme"
der Drucker,printer,Technologie & Geräte,Der Drucker hat kein Papier mehr.,,yazıcı
ausdrucken,to print out,Technologie & Geräte,Können Sie das bitte für mich ausdrucken?,,yazdırmak (çıktı almak)
scannen,to scan,Technologie & Geräte,Ich scanne das Dokument kurz ein.,,taramak
speichern,to save (a file),Technologie & Geräte,"Vergiss nicht, die Datei zu speichern.",,kaydetmek (dosya)
löschen,to delete,Technologie & Geräte,Ich habe die E-Mail aus Versehen gelöscht.,,silmek
die Einstellungen,settings,Technologie & Geräte,Sie finden das in den Einstellungen.,,ayarlar
die Software,software,Technologie & Geräte,Wir nutzen eine neue Software für die Buchhaltung.,,yazılım
die Kamera,camera,Technologie & Geräte,Die Kamera am Handy ist sehr gut.,,kamera
das Kabel,cable,Technologie & Geräte,Das Kabel ist leider zu kurz.,,kablo
der Stecker,plug,Technologie & Geräte,Der Stecker passt nicht in die Steckdose.,,fiş
streamen,to stream,Technologie & Geräte,Wir streamen den Film heute Abend.,,yayın akışı izlemek (stream)
der Sport,"sport, exercise",Sport & Freizeit,Treiben Sie regelmäßig Sport?,,spor
trainieren,"to train, work out",Sport & Freizeit,Ich trainiere dreimal pro Woche.,,antrenman yapmak
das Fitnessstudio,gym,Sport & Freizeit,Das Fitnessstudio ist gleich um die Ecke.,,spor salonu
joggen,to jog,Sport & Freizeit,Am Wochenende gehe ich joggen.,,koşu yapmak
schwimmen,to swim,Sport & Freizeit,Im Sommer schwimme ich gerne im See.,,yüzmek
wandern,to hike,Sport & Freizeit,Am Sonntag wandern wir in den Bergen.,,yürüyüş yapmak (doğada)
Velo fahren,to cycle (CH usage),Sport & Freizeit,Ich fahre fast jeden Tag Velo zur Arbeit.,,bisiklete binmek (İsviçre)
Ski fahren,to ski,Sport & Freizeit,Im Winter fahren wir oft Ski.,,kayak yapmak
die Mannschaft,team,Sport & Freizeit,Unsere Mannschaft hat das Spiel gewonnen.,,takım
das Spiel,"game, match",Sport & Freizeit,Das Spiel beginnt um drei Uhr.,,"oyun, maç"
das Training,"training, practice",Sport & Freizeit,Das Training fällt heute leider aus.,,antrenman
der Verein,"club, association",Sport & Freizeit,Er ist seit Jahren in einem Sportverein.,,"kulüp, dernek"
fit sein,to be fit,Sport & Freizeit,Sie ist sehr fit für ihr Alter.,,formda olmak
sich entspannen,to relax,Sport & Freizeit,Am Wochenende möchte ich mich nur entspannen.,,"rahatlamak, dinlenmek"
das Hobby,hobby,Sport & Freizeit,Was sind Ihre Hobbys?,,hobi
die Freizeit,"free time, leisure",Sport & Freizeit,In meiner Freizeit lese ich gerne.,,boş zaman
das Konzert,concert,Sport & Freizeit,Wir gehen am Freitag auf ein Konzert.,,konser
die Ausstellung,exhibition,Sport & Freizeit,Die Ausstellung im Museum ist sehr interessant.,,sergi
spazieren gehen,to go for a walk,Sport & Freizeit,Wollen wir nachher ein bisschen spazieren gehen?,,yürüyüşe çıkmak
die Veranstaltung,event,Sport & Freizeit,Die Veranstaltung findet im Park statt.,,etkinlik
Bleiben Sie bitte dran.,Please stay on the line.,Telefon & Termine,"Einen Moment bitte, bleiben Sie dran.",,Lütfen hatta kalın.
Ich verbinde Sie.,I'll connect/transfer you.,Telefon & Termine,Ich verbinde Sie kurz mit meiner Kollegin.,,Sizi bağlıyorum.
Können Sie das bitte buchstabieren?,"Could you spell that, please?",Telefon & Termine,"Ihr Name ist neu für mich, können Sie das bitte buchstabieren?",,Bunu harf harf söyleyebilir misiniz?
Wer ist am Apparat?,Who's speaking? (on the phone),Telefon & Termine,"Entschuldigung, wer ist bitte am Apparat?",,Kiminle görüşüyorum? (telefonda)
Ich rufe wegen... an.,I'm calling about...,Telefon & Termine,Ich rufe wegen meiner Bestellung an.,,...hakkında arıyorum.
zurückrufen,to call back,Telefon & Termine,Ich rufe Sie in zehn Minuten zurück.,,geri aramak
die Mailbox,voicemail,Telefon & Termine,"Sie sind auf der Mailbox gelandet, bitte hinterlassen Sie eine Nachricht.",,sesli mesaj kutusu
die Durchwahl,extension (phone),Telefon & Termine,Wählen Sie bitte die Durchwahl 14.,,dahili numara
die Vorwahl,area code,Telefon & Termine,Wie lautet die Vorwahl für Zürich?,,alan kodu
