de,en,cat,ex,pos,tr
der,the (masc.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,art,"-i, -ı (eril artikel 'the')"
die,the (fem./pl.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,art,"-i, -ı (dişil/çoğul artikel 'the')"
das,the (neut.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,art,"-i, -ı (nötr artikel 'the')"
ein,"a, an (masc./neut.)","Funktionswörter (Artikel, Pronomen, Präpositionen)",,art,bir (eril/nötr)
eine,"a, an (fem.)","Funktionswörter (Artikel, Pronomen, Präpositionen)",,art,bir (dişil)
ich,I,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,ben
du,you (informal),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,sen
er,he,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,o (eril)
sie,she / they,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,o (dişil) / onlar
es,it,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,o (nötr)
wir,we,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,biz
ihr,you (pl. informal),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,"siz (çoğul, samimi)"
Sie,you (formal),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,siz (resmi)
mich,me (acc.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,beni
mir,me (dat.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,bana
dich,you (acc.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,seni
dir,you (dat.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,sana
ihn,him (acc.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,onu (eril)
ihm,him (dat.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,ona (eril)
uns,us,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,bizi/bize
euch,"you (pl., acc./dat.)","Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,sizi/size (çoğul)
mein,my,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,benim
dein,your,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,senin
sein,his/its,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,olmak
ihr (poss.),her/their,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,onun (dişil) / onların
unser,our,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,bizim
euer,your (pl.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,sizin (çoğul)
dieser,this,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,bu
jener,that,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,"şu, o"
welcher,which,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,hangi
jeder,"every, each","Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,her
